customer_id,customer_name,customer_address,country,city,birthdate,marital_status,yearly_income,total_children,gender,education,acct_open_date,member_card,occupation,homeowner
21,Pedro Castillo,1579 Plaza Rosa,USA,Renton,11/4/1918,S,$30K - $50K,1,M,High School Degree,4/26/1992,Normal,Manual,Y
22,Laurie Borges,1873 Lyon Circle,USA,Bellingham,10/7/1947,M,$30K - $50K,4,F,High School Degree,8/8/1991,Golden,Skilled Manual,Y
23,Shauna Wyro,3114 Notre Dame Ave.,USA,La Jolla,10/24/1916,S,$30K - $50K,2,F,High School Degree,8/12/1992,Silver,Manual,N
24,Jacqueline Wyllie,6318 Marclair Dr.,Mexico,Santa Fe,12/4/1921,S,$30K - $50K,0,F,High School Degree,5/19/1991,Bronze,Manual,N
25,Lin Conley,7814 Milburn Dr.,Canada,Haney,9/26/1952,S,$70K - $90K,3,F,High School Degree,11/18/1991,Bronze,Professional,N
26,Jose Bernard,3928 San Francisco,USA,Burbank,8/25/1954,S,$10K - $30K,0,M,Partial High School,9/21/1992,Normal,Skilled Manual,N
27,Charles Macaluso,5678 McElroy Court,USA,Anacortes,3/17/1934,M,$30K - $50K,1,F,High School Degree,10/21/1991,Bronze,Manual,Y
28,Lois Wood,2046 Las Palmas,USA,Everett,3/12/1970,S,$10K - $30K,1,F,Partial High School,9/28/1993,Silver,Manual,Y
29,Kevin Armstrong,608 Lincoln Dr.,Canada,Oak Bay,10/4/1937,S,$10K - $30K,2,F,Partial High School,9/1/1993,Normal,Manual,N
30,Cody Goldey,7230 Berrellesa Street,USA,Milwaukie,7/8/1917,S,$50K - $70K,4,F,Bachelors Degree,5/9/1993,Bronze,Professional,Y
31,Paula Nickell,2144 San Rafael,USA,Concord,7/2/1978,M,$50K - $70K,4,F,Graduate Degree,2/6/1991,Golden,Professional,Y
32,Eric Long,1676 Greer Ave.,Canada,Ladner,1/8/1930,S,$10K - $30K,2,F,Partial High School,6/23/1991,Normal,Manual,Y
33,Mary Solimena,6843 San Simeon Dr.,USA,Santa Cruz,7/23/1971,M,$30K - $50K,2,F,High School Degree,8/15/1992,Bronze,Skilled Manual,N
34,Nathan Muenich,6629 Polson Circle,USA,La Mesa,10/21/1919,M,$50K - $70K,3,F,Bachelors Degree,2/27/1990,Silver,Management,Y
35,Ed Young,Rt. 470 Box A,Mexico,Merida,4/17/1920,M,$30K - $50K,5,M,Partial College,9/21/1992,Bronze,Skilled Manual,Y
36,Donna Arnold,7403 N. Broadway,USA,Oregon City,11/22/1915,S,$10K - $30K,1,M,Partial High School,6/24/1990,Normal,Skilled Manual,N
37,Jennifer Cooper,5734 Ashford Court,USA,Seattle,4/6/1961,S,$50K - $70K,0,M,Bachelors Degree,6/2/1992,Bronze,Professional,N
38,Peggy Petty,8684 Military East,USA,Arcadia,4/9/1958,S,$30K - $50K,1,M,Partial College,6/8/1993,Bronze,Management,N
39,Jessica Olguin,7270 Pepperidge Way,USA,Lebanon,1/23/1959,M,$90K - $110K,4,F,Graduate Degree,3/10/1992,Bronze,Professional,Y
40,Phyllis Burchett,475 Santa Maria,USA,Santa Cruz,10/27/1926,S,$110K - $130K,1,M,Partial College,8/14/1992,Bronze,Professional,Y
41,Howard Bechard,1970 Napa Ct.,USA,W. Linn,4/19/1919,S,$110K - $130K,1,M,High School Degree,10/10/1990,Bronze,Professional,N
42,Doris Carter,8084 Cardiff Drive,Mexico,San Andres,3/27/1965,M,$70K - $90K,3,F,Bachelors Degree,7/21/1993,Golden,Management,Y
43,Juanita Sharp,9833 Mt. Dias Blv.,USA,Burbank,5/16/1977,S,$50K - $70K,2,F,Bachelors Degree,3/19/1993,Bronze,Professional,N
44,Sandra Brunner,6202 Seeno St.,USA,Bellflower,5/20/1917,S,$30K - $50K,1,M,High School Degree,1/7/1992,Bronze,Skilled Manual,Y
45,Ernest Staton,862 The Alameda,USA,Renton,8/9/1916,S,$50K - $70K,5,M,Bachelors Degree,5/7/1994,Golden,Management,Y
46,Rose Sims,7484 Roundtree Drive,USA,Mill Valley,2/10/1928,M,$70K - $90K,1,F,Graduate Degree,11/22/1992,Silver,Professional,N
47,Lauretta De Carlo,5053 Loftus Road,Canada,Oak Bay,9/1/1951,M,$50K - $70K,0,M,Bachelors Degree,5/17/1992,Bronze,Professional,N
48,Mary Williams,1930 Almondwood Drive,Mexico,Camacho,10/17/1927,M,$50K - $70K,0,M,Bachelors Degree,5/4/1994,Bronze,Professional,N
49,Terri Burke,9752 Jeanne Circle,USA,Arcadia,12/2/1930,S,$30K - $50K,4,F,High School Degree,4/20/1992,Bronze,Skilled Manual,N
50,Audrey Osborn,9539 Glenside Dr,USA,Altadena,3/9/1922,S,$110K - $130K,4,M,Partial High School,6/3/1993,Bronze,Professional,Y
51,Brian Binai,7616 Honey Court,USA,Oakland,5/2/1955,M,$90K - $110K,4,F,Graduate Degree,12/5/1993,Bronze,Professional,N
52,Concepcion Lozada,7657 H St.,Mexico,Tixapan,9/4/1912,S,$70K - $90K,3,F,Bachelors Degree,3/19/1994,Silver,Professional,N
53,Paul Tays,5988 Red Leaf,Canada,Oak Bay,12/24/1932,M,$70K - $90K,4,M,Graduate Degree,7/10/1993,Normal,Management,Y
54,Cheryl Thorton,8938 West Hookston Road,Canada,Metchosin,9/24/1961,S,$30K - $50K,0,F,Partial College,7/24/1992,Bronze,Professional,Y
55,Gary Dumin,181 Gainsborough Drive,USA,Grossmont,2/8/1924,M,$10K - $30K,3,M,Partial High School,3/10/1992,Normal,Skilled Manual,Y
56,Pat Chin,3385 Crestview Drive,USA,Imperial Beach,11/21/1935,S,$10K - $30K,3,M,Partial High School,4/11/1990,Normal,Manual,N
57,Zach Lovell,6912 Laguna St.,Mexico,San Andres,12/10/1960,S,$10K - $30K,3,M,Partial High School,5/15/1991,Golden,Manual,Y
58,Dave Ratcliff,371 Ahneita Dr.,USA,Oakland,4/4/1956,S,$30K - $50K,3,F,Partial High School,11/24/1992,Bronze,Skilled Manual,N
59,Elizabeth Moss,4776 Kentucky Drive,Canada,Burnaby,6/1/1942,M,$30K - $50K,5,M,High School Degree,3/19/1993,Bronze,Manual,Y
60,Lori Anderson,1145 Paraiso Ct.,Canada,Langley,2/2/1914,S,$30K - $50K,3,M,Partial College,9/4/1990,Silver,Skilled Manual,Y
61,Michael Everson,3148 Rose Street,USA,Tacoma,2/15/1945,M,$70K - $90K,1,M,Bachelors Degree,2/26/1991,Bronze,Professional,N
62,Mary Borden,2427 Notre Dame Ave.,USA,Santa Monica,6/25/1931,M,$30K - $50K,1,M,High School Degree,5/12/1991,Golden,Skilled Manual,Y
63,Sue Willson,7340 Green St.,Mexico,Tlaxiaco,10/13/1916,S,$70K - $90K,4,F,Bachelors Degree,6/4/1992,Bronze,Professional,N
64,Clayton Harris,6872 Thornwood Dr.,USA,Beaverton,8/13/1932,S,$10K - $30K,4,M,Partial High School,2/26/1993,Normal,Manual,Y
65,Whitney Contreras,2040 Encino Drive,Canada,Metchosin,9/7/1979,M,$90K - $110K,0,F,Partial College,11/23/1990,Normal,Management,Y
66,Boyd Pusedu,1826 Corte Del Sol,Canada,Metchosin,8/11/1933,M,$110K - $130K,4,F,Partial College,9/3/1992,Silver,Professional,Y
67,Cian Stedman,9903 East Leland,Canada,Westminster,7/1/1928,M,$30K - $50K,3,M,Partial College,1/3/1991,Bronze,Skilled Manual,Y
68,Michele Zocchi,9943 Stonehedge Dr.,Mexico,Hidalgo,7/27/1917,S,$30K - $50K,0,F,High School Degree,11/13/1993,Silver,Manual,Y
69,Jean Walsh,931 Corte De Luna,USA,Los Angeles,6/17/1969,M,$10K - $30K,1,M,Partial High School,3/12/1991,Normal,Skilled Manual,Y
70,Leopoldo Renfro,1226 Shoenic,USA,Coronado,3/26/1972,M,$30K - $50K,0,M,High School Degree,7/13/1991,Bronze,Manual,Y
71,Donna Brockett,2467 Clearland Circle,Mexico,La Cruz,4/8/1967,S,$10K - $30K,5,M,Partial High School,11/20/1990,Normal,Manual,N
72,Laurie Anderson,5671 Bel Air Dr.,Canada,Shawnee,9/17/1940,M,$10K - $30K,5,F,Partial High School,12/3/1992,Normal,Skilled Manual,Y
73,Louis Gomez,7166 Brock Lane,USA,Yakima,2/28/1925,M,$30K - $50K,4,F,High School Degree,10/7/1992,Golden,Skilled Manual,Y
74,Julie Walker,3281 Hillview Dr.,USA,Ballard,4/3/1965,S,$50K - $70K,3,M,Bachelors Degree,3/24/1992,Bronze,Professional,Y
75,Jay Jones,5030 Blue Ridge Dr.,USA,Lynnwood,3/25/1913,S,$30K - $50K,3,F,High School Degree,3/17/1990,Bronze,Manual,N
76,Gayle Winfrey,1399 Firestone Drive,USA,Port Orchard,6/23/1917,S,$70K - $90K,1,F,High School Degree,5/26/1994,Normal,Professional,N
77,Yasmina Brown,6058 Hill Street,USA,Downey,6/17/1921,S,$50K - $70K,2,M,Bachelors Degree,6/18/1992,Normal,Professional,Y
78,Joseph Touchstone,2681 Eagle Peak,USA,Salem,6/24/1940,M,$10K - $30K,1,M,Partial High School,5/2/1994,Silver,Manual,Y
79,Mary Bakhtyari,7594 Alexander Pl.,USA,Tacoma,7/10/1957,S,$70K - $90K,2,M,Bachelors Degree,6/2/1994,Bronze,Management,Y
80,Melvin Glass,7126 Edie Ct.,USA,Lemon Grove,4/18/1946,S,$70K - $90K,1,F,Bachelors Degree,11/11/1992,Bronze,Management,Y
81,Kristin Cohen,2294 West 39th St.,USA,Milwaukie,10/25/1944,S,$10K - $30K,2,M,Partial High School,5/5/1990,Normal,Skilled Manual,Y
82,Susan Kharman,2080 Sycamore Drive,USA,Richmond,8/10/1941,S,$10K - $30K,4,F,Partial High School,3/23/1993,Normal,Skilled Manual,Y
83,Gordon Kirschner,158 Walnut Ave,USA,Arcadia,3/24/1969,S,$110K - $130K,3,F,Partial High School,2/20/1994,Golden,Management,Y
84,William Burger,2854 Magda Way,Canada,Haney,3/5/1932,S,$50K - $70K,4,M,Bachelors Degree,8/27/1994,Bronze,Professional,N
85,Lana Blau,1185 Dallis Drive,USA,Novato,10/19/1946,M,$30K - $50K,3,M,High School Degree,8/24/1993,Golden,Skilled Manual,Y
86,Donna Derby,8154 Via Mexico,USA,Bremerton,3/25/1911,S,$30K - $50K,4,M,Partial High School,11/6/1992,Normal,Skilled Manual,Y
87,Kathleen Thomson,6740 Jalisco,Canada,N. Vancouver,4/15/1949,S,$70K - $90K,4,F,High School Degree,9/26/1992,Bronze,Management,N
88,Gabriel Walton,2601 Cambridge Drive,USA,Milwaukie,2/11/1943,S,$30K - $50K,2,F,High School Degree,9/18/1992,Bronze,Manual,N
89,Bishop Meastas,4096 San Remo,USA,Woodland Hills,10/6/1974,S,$70K - $90K,4,F,High School Degree,4/16/1992,Bronze,Management,N
90,Geneva Kouba,7554 Lakeview Pl.,Canada,Sooke,10/5/1976,M,$70K - $90K,2,F,High School Degree,2/19/1993,Bronze,Professional,Y
91,Tricia Clark,1960 Via Catanzaro,USA,Long Beach,4/24/1956,M,$50K - $70K,1,M,Bachelors Degree,12/20/1990,Bronze,Professional,N
92,Debi Munn,5672 Hale Dr.,USA,Arcadia,8/3/1934,M,$30K - $50K,4,M,High School Degree,5/7/1993,Bronze,Skilled Manual,Y
93,Patricia Goldberg,332 Laguna Niguel,USA,Woodburn,3/22/1970,M,$130K - $150K,5,M,Bachelors Degree,5/8/1993,Golden,Professional,Y
94,Susan Magenheim,6954 Garcia Ranch Road,Canada,Vancouver,9/15/1939,S,$10K - $30K,1,M,Partial High School,12/15/1993,Normal,Skilled Manual,Y
95,Nancy Hance,4523 Via Cortez,Mexico,Tlaxiaco,9/9/1930,S,$130K - $150K,2,F,Graduate Degree,9/13/1991,Silver,Professional,Y
96,Rhonda Mehlert,1400 Gibrix Drive,USA,Beaverton,3/15/1951,S,$50K - $70K,0,M,Bachelors Degree,10/18/1990,Normal,Management,Y
97,Paula Duran,9222 Roseann Drive,Canada,Richmond,8/3/1923,M,$50K - $70K,4,M,High School Degree,4/21/1992,Golden,Skilled Manual,Y
98,Margaret Earley,9009 W 46th St,Canada,Richmond,3/12/1952,M,$130K - $150K,1,F,High School Degree,9/7/1990,Bronze,Management,Y
99,Elizabeth Horne,7086 O St.,USA,Port Orchard,4/9/1934,S,$30K - $50K,3,F,Bachelors Degree,5/28/1992,Bronze,Professional,N
100,Mary Hunt,7127 Morengo Court,USA,San Jose,12/14/1929,M,$90K - $110K,2,F,Partial High School,8/6/1990,Silver,Professional,Y
101,Libby Allen,5458 Encino Drive,Canada,N. Vancouver,4/26/1975,S,$10K - $30K,1,F,Partial High School,7/16/1993,Normal,Manual,N
102,Bonnie Bruno,8408 Via Del Sol,Canada,Langford,5/2/1972,M,$30K - $50K,2,M,Bachelors Degree,10/6/1990,Bronze,Professional,N
103,Angela Bowers,9650 Valley View Road,Mexico,Acapulco,5/27/1914,M,$50K - $70K,5,M,Bachelors Degree,4/24/1992,Golden,Professional,Y
104,Donald Gonzales,2855 Playa,Mexico,Hidalgo,3/4/1952,M,$30K - $50K,1,F,Partial College,11/12/1994,Bronze,Clerical,N
105,Sylvester Valdez,4350 Mota Dr.,USA,National City,5/12/1933,M,$150K +,3,M,Bachelors Degree,2/8/1992,Golden,Management,Y
106,John Stewart,7808 Brown St.,USA,Long Beach,3/20/1979,S,$50K - $70K,5,M,Bachelors Degree,11/19/1991,Bronze,Professional,Y
107,Barney Velasquez,2214 Solano,Canada,Cliffside,5/9/1921,M,$30K - $50K,2,M,High School Degree,6/17/1990,Bronze,Manual,Y
108,Kenneth Dubois,8582 San Jose Ave.,Canada,Shawnee,5/13/1931,M,$90K - $110K,1,M,Bachelors Degree,2/21/1993,Bronze,Management,Y
109,Kate Maestas,3241 Brock Lane,Canada,Newton,8/1/1929,S,$50K - $70K,2,M,Bachelors Degree,9/19/1992,Bronze,Professional,N
110,Josie Underwood,9863 Ridge Place,USA,West Covina,2/3/1942,S,$10K - $30K,3,M,Partial High School,8/2/1993,Normal,Manual,N
111,Ramon Strain,4777 Rockne Drive,USA,Palo Alto,10/21/1965,M,$70K - $90K,2,F,Bachelors Degree,2/24/1992,Bronze,Management,Y
112,Pat Azari,4310 Kenston Dr.,USA,Santa Monica,11/24/1948,M,$30K - $50K,4,F,High School Degree,2/11/1991,Bronze,Skilled Manual,Y
113,Bob Dabit,9476 Hill Top Rd.,Canada,Sooke,5/20/1964,M,$110K - $130K,2,F,Bachelors Degree,1/27/1993,Bronze,Professional,Y
114,Marty Carmona,9263 Mt. McKinley Ct.,Canada,Sooke,4/16/1943,S,$150K +,3,F,High School Degree,3/9/1993,Silver,Professional,Y
115,Gina Saxton,620 Woodside Ct.,USA,Altadena,6/9/1977,S,$90K - $110K,3,F,Bachelors Degree,9/12/1994,Silver,Professional,Y
116,Juan McLaughlin,661 Miller Ave.,Canada,Burnaby,10/11/1934,S,$90K - $110K,2,M,High School Degree,8/14/1994,Bronze,Management,N
117,Carol Eyster,1648 Eastgate Lane,USA,Albany,2/4/1954,M,$90K - $110K,3,F,Graduate Degree,4/16/1994,Bronze,Professional,Y
118,Nancy Henry,4598 Manila Avenue,USA,Bremerton,10/4/1913,S,$50K - $70K,2,M,Bachelors Degree,3/3/1993,Bronze,Professional,Y
119,Chris Barros,3183 Trasher Road,Canada,N. Vancouver,7/26/1957,S,$10K - $30K,4,M,Partial High School,5/21/1991,Normal,Manual,Y
120,Christopher Groome,6387 Scenic Avenue,USA,Milwaukie,1/28/1957,M,$30K - $50K,0,F,High School Degree,9/7/1990,Bronze,Skilled Manual,Y
121,Anna Hill,7883 Mitchell Canyon Court,USA,Santa Monica,2/17/1912,S,$30K - $50K,5,F,High School Degree,7/27/1994,Silver,Manual,Y
122,Ramon Williams,3997 Via De Luna,USA,Walla Walla,9/22/1920,M,$30K - $50K,4,F,High School Degree,5/19/1992,Bronze,Skilled Manual,N
123,Scott Masters,5747 Shirley Drive,USA,Richmond,7/8/1964,M,$30K - $50K,2,F,High School Degree,8/15/1993,Bronze,Manual,Y
124,"Joseph Brady, Jr.",2115 Pasado,USA,Oakland,9/7/1930,S,$70K - $90K,5,F,Bachelors Degree,3/27/1991,Bronze,Professional,N
125,Ellen Gray,6774 Bonanza,USA,Bellflower,12/4/1972,M,$70K - $90K,2,M,Bachelors Degree,6/22/1991,Bronze,Professional,Y
126,Henry Fielder,3397 Rancho View Drive,USA,Ballard,2/3/1947,S,$110K - $130K,2,F,Partial College,7/24/1990,Normal,Professional,Y
127,Jeanine Finnell,8310 Ridge Circle,USA,Everett,6/18/1932,S,$10K - $30K,1,M,Partial High School,11/27/1992,Normal,Skilled Manual,Y
128,Ian Schuetz,7842 Ygnacio Valley Road,USA,Salem,4/18/1947,S,$30K - $50K,1,F,High School Degree,8/11/1992,Bronze,Skilled Manual,N
129,Richard Runyon,5666 Hazelnut Lane,USA,Concord,5/11/1925,M,$50K - $70K,0,F,Bachelors Degree,11/16/1990,Bronze,Professional,Y
130,Linda Potter,5452 Corte Gilberto,USA,Concord,4/15/1949,S,$110K - $130K,4,F,Graduate Degree,9/23/1992,Bronze,Professional,N
131,Mary Smith,874 Olivera Road,USA,La Jolla,3/6/1944,S,$10K - $30K,3,M,Partial High School,12/22/1991,Normal,Manual,Y
132,Barbara Brumagen,3570 Court Lane,Canada,Cliffside,3/5/1933,S,$30K - $50K,0,F,High School Degree,10/6/1993,Silver,Skilled Manual,N
133,Thelma Hamilton,1902 Santa Cruz,USA,Burbank,2/22/1915,M,$30K - $50K,1,M,High School Degree,11/21/1990,Bronze,Skilled Manual,Y
134,Shirley J Wilbert,4852 Chaparral Court,USA,Spokane,10/4/1918,S,$50K - $70K,4,M,Bachelors Degree,7/6/1991,Bronze,Professional,Y
135,Jeremy Ingram,6093 Midway Ct.,Mexico,Tixapan,3/23/1924,M,$110K - $130K,5,M,Bachelors Degree,8/2/1994,Silver,Professional,Y
136,Sharon Haddix,9297 Kenston Dr.,USA,Lynnwood,5/22/1956,M,$150K +,3,M,Bachelors Degree,9/12/1991,Golden,Professional,Y
137,Leland Thomas,793 Crawford Street,USA,Newport Beach,3/8/1943,M,$130K - $150K,3,F,Partial College,7/13/1993,Bronze,Professional,Y
138,Don Wilson,4251 San Onofre Court,Canada,Oak Bay,9/22/1925,S,$90K - $110K,4,F,Partial High School,5/8/1991,Silver,Professional,Y
139,Wayne Stovall,8656 Lakespring Place,USA,Coronado,4/5/1931,M,$30K - $50K,1,M,Partial High School,8/12/1991,Bronze,Manual,Y
140,Douglas Russell,5025 Holiday Hills,USA,La Mesa,11/14/1947,M,$10K - $30K,2,M,Partial High School,10/21/1990,Normal,Skilled Manual,Y
141,Maureen Doose,7028 San Gabriel Dr.,Mexico,Santa Anita,7/24/1939,M,$10K - $30K,4,M,Partial High School,11/13/1992,Normal,Skilled Manual,N
142,Ann Morreale,6307 Grenadine Way,USA,Renton,7/5/1958,M,$50K - $70K,2,F,Bachelors Degree,10/24/1990,Golden,Professional,Y
143,Sheila Rupert,1220 Bradford Way,USA,Glendale,8/17/1975,M,$30K - $50K,5,F,Partial College,11/24/1990,Golden,Manual,Y
144,Ashley Pierson,1999 Orangewood Court,Canada,Westminster,6/25/1964,S,$10K - $30K,3,M,Partial High School,4/6/1992,Bronze,Skilled Manual,Y
145,Ivan Nickels,9821 Juniper Drive,Canada,Victoria,3/16/1974,M,$10K - $30K,3,M,Partial High School,10/27/1991,Normal,Manual,Y
146,Chad Neuhauser,9608 Grammercy Lane,Canada,Victoria,10/17/1960,S,$130K - $150K,2,M,Partial High School,8/15/1991,Bronze,Professional,Y
147,Ann Coke,7685 Imperial Dr,Canada,Sooke,5/5/1917,S,$110K - $130K,4,M,Bachelors Degree,12/20/1992,Bronze,Professional,Y
148,Jon Scarbrough,7726 Driftwood Drive,USA,Kirkland,4/12/1950,S,$70K - $90K,2,M,High School Degree,7/28/1993,Bronze,Management,N
149,Lillian Martensen,8713 Yosemite Ct.,USA,Chula Vista,11/27/1964,S,$50K - $70K,1,M,Bachelors Degree,7/24/1992,Bronze,Professional,Y
150,Mary McCormick,9008 Creekside Drive,USA,Seattle,5/6/1929,M,$30K - $50K,4,F,High School Degree,11/6/1991,Bronze,Manual,Y
151,James Sparacino,250 Geary Ct.,USA,San Jose,4/8/1959,M,$30K - $50K,3,F,Partial College,8/27/1991,Bronze,Management,Y
152,John Racette,3454 D Bel Air Drive,USA,Ballard,3/4/1953,S,$150K +,2,F,High School Degree,5/7/1990,Silver,Professional,Y
153,Edwardo Thompson,4949 Dutch Slough Rd,Mexico,Guadalajara,11/26/1914,M,$10K - $30K,3,F,Partial High School,11/5/1990,Normal,Manual,Y
154,Sam Warren,1064 Slavio,USA,Lebanon,10/25/1916,S,$50K - $70K,0,F,Bachelors Degree,12/19/1992,Bronze,Professional,N
155,Shelby Chow-Wang,2813 Dew Drop Circle,Canada,Port Hammond,5/17/1966,M,$110K - $130K,1,M,Partial High School,11/20/1993,Silver,Professional,N
156,Nelly Wood,9181 La Vista Circle,Canada,Sooke,8/23/1944,S,$130K - $150K,1,M,Bachelors Degree,10/2/1993,Bronze,Professional,Y
157,Jackie Morgan,3841 Silver Oaks Place,USA,La Mesa,4/15/1910,S,$50K - $70K,2,F,Bachelors Degree,10/3/1993,Bronze,Professional,N
158,Gavin Boje,463 H Stagecoach Rd.,USA,Tacoma,12/19/1961,M,$130K - $150K,3,F,Partial College,6/11/1993,Bronze,Management,Y
159,Marlene Tsujimoto,5376 Catanzaro Way,USA,Milwaukie,9/2/1940,M,$30K - $50K,4,M,High School Degree,3/8/1991,Bronze,Skilled Manual,Y
160,RitaIva Bouton,4909 Poco Lane,USA,Renton,3/8/1961,M,$90K - $110K,1,F,Partial High School,4/14/1990,Golden,Professional,N
161,Dell Gras,77 Birchwood,USA,Grossmont,8/23/1933,M,$30K - $50K,1,F,High School Degree,9/17/1992,Bronze,Manual,Y
162,Christopher Solano,9862 Ahneita Dr.,Canada,Ladner,3/5/1963,M,$30K - $50K,3,F,Partial High School,11/18/1993,Bronze,Manual,Y
163,George Armstrong,7939 Bayview Court,USA,Los Angeles,6/17/1952,S,$10K - $30K,5,F,Partial High School,10/23/1992,Normal,Skilled Manual,N
164,Kristine Aldred,636 Vine Hill Way,USA,Coronado,2/22/1947,S,$30K - $50K,4,F,High School Degree,1/1/1990,Bronze,Skilled Manual,N
165,Tom Jorgenson,8967 Hamilton Ave.,USA,Milwaukie,8/17/1935,S,$130K - $150K,2,M,Bachelors Degree,9/22/1992,Bronze,Professional,Y
166,Dana Turner,1918 Terra Granada,Canada,Oak Bay,9/20/1932,S,$30K - $50K,4,F,High School Degree,4/26/1992,Golden,Manual,Y
167,Terry Zakerski,504 O St.,USA,Lemon Grove,6/7/1932,S,$70K - $90K,2,M,Graduate Degree,9/17/1990,Bronze,Professional,Y
168,David Carlson,3708 Montana,USA,Walla Walla,7/24/1963,M,$10K - $30K,4,F,Partial High School,5/5/1991,Normal,Manual,N
169,Linda Symons,5203 Virginia Lane,USA,Lebanon,12/16/1956,M,$50K - $70K,0,F,Partial High School,7/28/1993,Bronze,Manual,Y
170,Louis Reynolds,1318 Lasalle Street,USA,Los Angeles,7/13/1920,S,$10K - $30K,1,M,Partial High School,5/12/1993,Normal,Skilled Manual,N
171,Maureen Ibsen,3067 Maya,USA,Downey,10/2/1932,M,$10K - $30K,4,M,Partial High School,9/26/1991,Normal,Manual,N
172,Virginia Ciochon,9435 Breck Court,USA,West Covina,10/5/1942,M,$50K - $70K,3,F,Bachelors Degree,7/14/1991,Silver,Professional,N
173,Steve Berger,4095 Cooper Dr.,USA,Bellingham,2/21/1940,S,$50K - $70K,3,F,High School Degree,3/12/1994,Golden,Manual,N
174,James Bayol,5242 Marvelle Ln.,USA,San Carlos,6/23/1953,M,$90K - $110K,4,F,High School Degree,7/17/1991,Bronze,Management,Y
175,Meredith Thumann,2812 East Lake Court,Canada,Metchosin,3/14/1976,S,$70K - $90K,0,F,Graduate Degree,9/5/1991,Bronze,Professional,N
176,Julie Jones,9687 Shakespeare Drive,USA,Concord,5/16/1960,M,$110K - $130K,2,M,Partial College,6/8/1992,Silver,Professional,Y
177,Janet Bury,7511 Cooper Dr.,USA,Corvallis,9/13/1975,M,$10K - $30K,0,M,Partial High School,8/8/1991,Normal,Skilled Manual,N
178,Onita Bevan,7297 Rosalinda,USA,Woodburn,12/19/1967,S,$30K - $50K,1,M,Partial College,9/18/1991,Bronze,Manual,Y
